order_id,order_datetime,customer_id,city,restaurant,cuisine,quantity,item_price,discount,gross_amount,revenue,delivery_time_min,status,rating
4793,2024-01-01 18:40:00,17569,Mumbai,Andheri Spice,Pizza,1,450,0.1,450,403.25,33,Delivered,5.0
4534,2024-01-01 19:40:00,15975,Pune,Burger Bay PNE,Chinese,4,300,0.02,1200,1177.71,39,Delivered,4.0
2514,2024-01-01 20:30:00,12482,Bengaluru,Darshini Express,Biryani,3,320,0.07,960,892.59,28,Delivered,4.4
10878,2024-01-01 20:50:00,11262,Chennai,Adyar Ananda,South Indian,4,220,0.1,880,790.87,44,Delivered,4.1
2473,2024-01-01 21:00:00,11717,Hyderabad,Chinese Bowl HYD,Biryani,2,320,0.03,640,618.3,28,Delivered,4.2
3262,2024-01-01 21:30:00,11644,Hyderabad,Bawarchi,Burgers,5,250,0.19,1250,1017.32,49,Delivered,3.8
4,2024-01-01 21:30:00,16147,Mumbai,BKC Biryani Works,South Indian,3,220,0.12,660,583.75,44,Delivered,4.2
1602,2024-01-01 21:40:00,18502,Mumbai,Andheri Spice,North Indian,5,280,0.07,1400,1296.7,42,Delivered,4.1
6155,2024-01-01 21:50:00,15856,Pune,FC Road Spice,Pizza,3,450,0.12,1350,1182.81,64,Cancelled,
1191,2024-01-01 22:10:00,15587,Bengaluru,Darshini Express,Chinese,3,300,0.07,900,840.3,44,Delivered,4.5
111,2024-01-01 22:10:00,19237,Hyderabad,Nizam Bites,Burgers,4,250,0.16,1000,840.63,27,Delivered,3.8
11284,2024-01-01 22:30:00,18202,Chennai,Velachery Biryani,Biryani,2,320,0.04,640,614.32,44,Delivered,4.3
11193,2024-01-01 22:30:00,16837,Delhi,Karol Bagh Biryani,Biryani,2,320,0.04,640,611.91,39,Delivered,4.3
8570,2024-01-01 22:30:00,11253,Chennai,Adyar Ananda,South Indian,2,220,0.1,440,394.68,32,Cancelled,
3136,2024-01-01 22:40:00,12438,Delhi,Karol Bagh Biryani,North Indian,2,280,0.01,560,553.41,50,Delivered,4.3
8914,2024-01-01 22:40:00,13789,Bengaluru,Pizza Hub BLR,North Indian,1,280,0.11,280,248.86,42,Delivered,4.4
3059,2024-01-01 23:10:00,10747,Bengaluru,Pizza Hub BLR,Burgers,7,250,0.21,1750,1384.7,40,Delivered,4.4
9939,2024-01-01 23:40:00,12991,Bengaluru,Pizza Hub BLR,Burgers,8,250,0.17,2000,1653.47,27,Delivered,4.4
6645,2024-01-02 00:30:00,15682,Pune,Burger Bay PNE,North Indian,5,280,0.12,1400,1233.87,33,Delivered,4.4
4453,2024-01-02 01:10:00,18621,Bengaluru,Taste of Indiranagar,Burgers,2,250,0.18,500,408.57,35,Delivered,4.7
7098,2024-01-02 01:50:00,16877,Hyderabad,Pizza Hub HYD,Biryani,4,320,0.09,1280,1161.11,26,Delivered,4.3
1745,2024-01-02 03:00:00,14958,Chennai,T Nagar Chinese,Chinese,2,300,0.07,600,560.05,25,Delivered,5.0
4141,2024-01-02 03:00:00,10081,Pune,Kothrud Chinese,Desserts,2,180,0.15,360,305.75,41,Delivered,5.0
3901,2024-01-02 03:10:00,18764,Hyderabad,Paradise,Pizza,3,450,0.21,1350,1064.78,36,Returned,
5896,2024-01-02 03:20:00,12340,Hyderabad,Nizam Bites,South Indian,4,220,0.05,880,832.79,34,Delivered,4.2
96,2024-01-02 03:40:00,16192,Chennai,Pizza Hub CHE,Chinese,2,300,0.11,600,533.34,39,Delivered,4.3
9961,2024-01-02 03:50:00,10703,Pune,Burger Bay PNE,Burgers,4,250,0.08,1000,916.34,16,Delivered,4.8
167,2024-01-02 04:00:00,19453,Delhi,CP Kitchen,Burgers,3,250,0.15,750,636.49,33,Delivered,3.9
11667,2024-01-02 04:10:00,19446,Mumbai,Pizza Hub BOM,North Indian,5,280,0.12,1400,1230.88,37,Delivered,3.5
1120,2024-01-02 04:40:00,12755,Mumbai,BKC Biryani Works,North Indian,3,280,0.07,840,782.74,31,Delivered,4.3
6061,2024-01-02 04:50:00,11944,Hyderabad,Paradise,Burgers,3,250,0.16,750,627.17,27,Delivered,4.4
4502,2024-01-02 05:40:00,11262,Bengaluru,Darshini Express,Chinese,4,300,0.01,1200,1186.52,43,Delivered,4.3
2677,2024-01-02 06:00:00,12786,Hyderabad,Chinese Bowl HYD,Pizza,2,450,0.23,900,689.26,35,Delivered,4.3
3716,2024-01-02 06:10:00,18911,Pune,Pizza Hub PNE,Pizza,1,450,0.15,450,384.55,29,Delivered,4.7
4067,2024-01-02 06:20:00,15621,Delhi,Karol Bagh Biryani,Desserts,4,180,0.1,720,645.68,47,Delivered,4.2
8338,2024-01-02 06:20:00,14234,Hyderabad,Nizam Bites,Biryani,3,320,0.0,960,960.0,23,Delivered,4.9
7569,2024-01-02 06:30:00,18376,Pune,Kothrud Chinese,North Indian,6,280,0.07,1680,1569.37,44,Delivered,4.3
7937,2024-01-02 06:30:00,16198,Pune,Pizza Hub PNE,Biryani,6,320,0.0,1920,1920.0,25,Delivered,4.2
3595,2024-01-02 06:30:00,14481,Bengaluru,Taste of Indiranagar,Biryani,4,320,0.05,1280,1218.31,32,Delivered,4.0
4554,2024-01-02 06:40:00,18419,Hyderabad,Paradise,Pizza,4,450,0.25,1800,1341.21,50,Delivered,3.6
10455,2024-01-02 07:20:00,15785,Mumbai,Powai Chinese,Chinese,2,300,0.08,600,554.28,33,Delivered,4.2
11079,2024-01-02 07:20:00,12685,Hyderabad,Paradise,Biryani,1,320,0.1,320,288.76,33,Delivered,3.6
2675,2024-01-02 16:00:00,10214,Hyderabad,Pizza Hub HYD,South Indian,2,220,0.11,440,392.19,24,Delivered,4.3
3052,2024-01-02 16:00:00,12851,Hyderabad,Chinese Bowl HYD,Burgers,2,250,0.1,500,450.57,22,Delivered,4.2
7164,2024-01-02 17:50:00,16070,Bengaluru,Koramangala Biryani Co,Burgers,3,250,0.11,750,668.33,31,Delivered,5.0
